participant,side,Sampler,seed,fold,sigma_noise,A_repulsion,gamma,sigma_update,eta_learning,sigma_boundary,alpha,train error,test error
QP0101,Asym_right,CMA-ES,6,1,0.05873532009164473,0.21490670942006385,0.5956534995174751,0.5361279496998697,0.1308508424291099,1.9441782633641924,0.18505786975046268,0.08567478316961608,0.10492303299680994
QP0101,Asym_right,CMA-ES,6,2,0.20767537963894156,0.23756415462873726,0.8701279706462637,0.2605008503609881,0.989306571387141,6.819217941317942,0.5172161549194767,0.11080118279749718,0.11096979572582827
QP0101,Asym_right,CMA-ES,7,1,0.28315682393378666,0.16977679070054386,0.993036094357818,0.2263629325890185,1.7469787158154686,4.315851263629423,0.5002111571549617,0.08645115738369255,0.08492149666236269
QP0101,Asym_right,CMA-ES,7,2,0.28667616788427186,0.06628238359011918,0.9657345842274228,0.1962643110531228,2.8227702807643604,2.1439609739211765,0.44326192453777735,0.07167301905926268,0.09281048849154089
QP0101,Asym_right,CMA-ES,8,1,0.20310538606283118,0.10142428873072806,0.996524630365324,0.23466342015500086,0.06597477501848885,0.628817742459577,0.28377103385386526,0.07938222814961456,0.1101207806308333
QP0101,Asym_right,CMA-ES,8,2,0.16885278447429997,0.23198465491049103,0.31203518896526433,0.47467090209385027,0.09033421769032293,9.134708574644717,0.29992676927657425,0.09291594987529109,0.11222815667153674
QP0103,Asym_right,CMA-ES,1,1,0.21778236033494497,0.253581063866603,0.9379010699503406,0.34682951996722294,1.730009862104413,4.647373772493699,0.5392687591371692,0.027743539037323225,0.11276541232502411
QP0103,Asym_right,CMA-ES,1,2,0.23414054036453574,0.08001709862018297,0.897050409515161,0.21344217136903604,0.6888616815204665,3.1668020475043983,0.786567451364221,0.04667198079538286,0.06674224686748775
QP0103,Asym_right,CMA-ES,2,1,0.18156397770340665,0.16191098495202405,0.6383922756349779,0.14251880918666301,2.4118866417812717,7.75779417140052,0.6621212826701466,0.10502469499119803,0.035171681867143256
QP0103,Asym_right,CMA-ES,2,2,0.19828175423071226,0.15458159669601138,0.7878716655228665,0.1497987942251426,1.8294651334671999,6.317948741332621,0.8037767028725092,0.048044107628077926,0.13084579019969844
QP0103,Asym_right,CMA-ES,3,1,0.3029998265214446,0.1566422807919312,0.9979829506111708,0.309160185285083,1.969588504263375,9.637350472131448,0.7449641260614246,0.0456205327124132,0.04954682388394552
QP0103,Asym_right,CMA-ES,3,2,0.2982951478433202,0.2692705298859622,0.9235363031953122,0.3768499737914161,1.5066531679349224,8.001689158704666,0.6771872981726322,0.04222985204327116,0.057604454389321935
QP0103,Asym_right,CMA-ES,4,1,0.2808705062494005,0.2630593540896018,0.9222252515346054,0.3339498256857963,0.2830872918777375,8.513934322644758,0.6924967566097321,0.05165084125718183,0.05830622472653575
QP0103,Asym_right,CMA-ES,4,2,0.21575662035664772,0.10304440159751493,0.9701326291962385,0.28480261271671564,0.5693339864181717,2.8671647118996946,0.6182394523635183,0.03877490687110059,0.08123773050224456
QP0103,Asym_right,CMA-ES,5,1,0.24895672848238948,0.03161061271723281,0.847471949999154,0.23934614547777075,2.0848083584664945,3.0392267618176474,0.6177471888927525,0.03070527424767159,0.0696916908562992
QP0103,Asym_right,CMA-ES,5,2,0.23518206282849746,0.07878751286694477,0.9010865919149019,0.4112517905850028,1.8302379416939676,1.1925354938413457,0.663228778166337,0.04429556797580978,0.029306981760340623
QP0103,Asym_right,CMA-ES,6,1,0.16712257335021014,0.16226136399628635,0.8474488685401368,0.1655569556115241,1.226566536034509,4.738172475473155,0.5397321959914814,0.029016505717185948,0.10592438114079274
QP0103,Asym_right,CMA-ES,6,2,0.23082076520734435,0.04583051342808375,0.975063889476591,0.19152410453966656,0.7794658828845559,9.518301136542938,0.7731318971196076,0.07483272687521013,0.03846363559528997
QP0103,Asym_right,CMA-ES,7,1,0.22260548670461244,0.16787916357181093,0.7748458998236014,0.12027278091244663,2.1935439125824656,2.9652530281449234,0.8648805584013837,0.0411811014911876,0.07850310852860487
QP0103,Asym_right,CMA-ES,7,2,0.18944965727928653,0.09632468291828365,0.9851371844417689,0.3029299880910168,1.5561852103646892,9.451279731871518,0.6741525737589817,0.044094451503140855,0.05856836445330362
QP0103,Asym_right,CMA-ES,8,1,0.16958645407185102,0.20286118053175595,0.7830061750695625,0.23399758517770108,1.4652927851731288,0.6694469849682935,0.6368780517341531,0.054079701082800795,0.08034985165856486
QP0103,Asym_right,CMA-ES,8,2,0.28584936522903487,0.010996828405229142,0.8714520527463238,0.25997138333575176,0.7497009782052265,2.7301253260856884,0.7078893387864176,0.04934567486699678,0.02708249177637282
QP0121,Asym_right,CMA-ES,1,1,0.240125608176265,0.2969921407697192,0.4515723658815258,0.37148472894068274,0.8339040423787801,3.3137365433181554,0.635542838468297,0.23117609907841447,0.2572227644788303
